,Day,total_screened,positive_detected
0,60.0,870.0,0.0
1,63.0,870.0,0.0
2,66.0,870.0,0.0
3,69.0,870.0,0.0
4,72.0,870.0,1.0
5,75.0,870.0,1.0
6,78.0,870.0,4.0
7,81.0,870.0,6.0
8,84.0,870.0,8.0
9,87.0,870.0,23.0
10,90.0,870.0,26.0
11,93.0,870.0,26.0
12,96.0,870.0,15.0
13,99.0,870.0,22.0
14,102.0,870.0,11.0
15,105.0,870.0,14.0
16,108.0,870.0,9.0
17,111.0,870.0,18.0
18,114.0,870.0,10.0
19,117.0,870.0,7.0
20,120.0,870.0,6.0
21,123.0,870.0,13.0
22,126.0,870.0,11.0
23,129.0,870.0,9.0
24,132.0,870.0,5.0
25,135.0,870.0,2.0
26,138.0,870.0,2.0
27,141.0,870.0,3.0
28,144.0,870.0,1.0
29,147.0,870.0,1.0
30,150.0,870.0,1.0
31,153.0,870.0,0.0
32,156.0,870.0,1.0
33,159.0,870.0,0.0
34,162.0,870.0,0.0
35,165.0,870.0,0.0
36,168.0,870.0,0.0
37,171.0,870.0,0.0
38,174.0,870.0,0.0
39,177.0,870.0,1.0
40,180.0,870.0,0.0
41,183.0,870.0,0.0
42,186.0,870.0,0.0
43,189.0,870.0,0.0
44,192.0,870.0,0.0
45,195.0,870.0,0.0
46,198.0,870.0,0.0
47,201.0,870.0,0.0
48,204.0,870.0,0.0
49,207.0,870.0,0.0
50,210.0,870.0,0.0
51,213.0,870.0,1.0
52,216.0,870.0,0.0
53,219.0,870.0,0.0
54,222.0,870.0,1.0
55,225.0,870.0,0.0
56,228.0,870.0,0.0
57,231.0,870.0,0.0
58,234.0,870.0,1.0
59,237.0,870.0,1.0
