,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28
79,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,1.0,2.0,5.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0
81,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,3.0,1.0,3.0,6.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,5.0,1.0,3.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,3.0,0.0,4.0,5.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0
84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,4.0,4.0,1.0,0.0
85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0
86,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,3.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,2.0
87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0
88,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,0.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,0.0,4.0,2.0,1.0,0.0,2.0
89,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,5.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,0.0
90,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,7.0,2.0,5.0,4.0,1.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0
91,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,2.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0
92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0
93,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
94,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,6.0
95,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,3.0,4.0,3.0,3.0,2.0,3.0,5.0,1.0,3.0,3.0,7.0,3.0
96,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
97,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,5.0,3.0
98,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0,2.0,1.0,1.0
100,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,0.0,4.0,3.0,1.0,2.0,2.0
101,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0
102,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0
103,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,1.0,0.0,2.0
104,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0
105,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,2.0
106,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0
107,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0
108,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0
109,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0
110,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,5.0,2.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,4.0,1.0,3.0,5.0,0.0
111,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,2.0,5.0,7.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0
112,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
113,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,3.0,1.0,4.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0
114,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,4.0,1.0,0.0,5.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0
115,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0
116,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,3.0,1.0
117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,3.0
118,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,2.0,0.0,3.0,5.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,1.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,0.0
120,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0
121,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0
122,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0
123,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,6.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,2.0
124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,0.0,5.0,3.0,4.0
125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,7.0,1.0,0.0,1.0
126,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0
127,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,4.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0
128,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0
129,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
130,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,5.0,5.0,1.0,5.0,3.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,0.0,5.0,3.0
131,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,5.0,4.0,6.0,0.0,1.0,1.0
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,4.0
133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,1.0,4.0,0.0,3.0,3.0,2.0,2.0,2.0,6.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,6.0,4.0
136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,5.0,3.0,5.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,0.0
137,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0
138,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,4.0,2.0,6.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,3.0
139,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,4.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0
141,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,5.0,1.0
142,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0
144,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,1.0,5.0,5.0,3.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0
145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0
147,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,5.0,2.0,0.0,4.0,0.0,3.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0
148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,2.0,2.0,0.0,3.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0
149,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,4.0,0.0,2.0,3.0
150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,3.0,4.0,2.0,4.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,2.0,1.0
152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,2.0,5.0,1.0,4.0,2.0,3.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0
154,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0
158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,2.0
